,p'__0,p'__1,p'__2,p'__3,p'__4,p'__5,p'__6,p'__7,p'__8,p'__9,Recall
p__0:label,765,1,13,15,6,15,9,2,24,0,0.9
p__1:label,5,67,77,187,198,3,158,10,2,0,0.0947
p__2:label,13,6,804,88,42,102,222,2,24,0,0.6170
p__3:label,4,3,3,938,0,1,2,37,0,4,0.9455
p__4:label,7,1,24,11,999,65,47,2,1,3,0.8612
p__5:label,3,0,9,1,114,930,5,1,2,5,0.8691
p__6:label,20,15,264,32,365,75,349,0,0,7,0.3096
p__7:label,3,0,0,343,0,0,2,107,1,2,0.2336
p__8:label,453,0,76,113,4,38,8,1,193,0,0.2178
p__9:label,2,0,0,2,2,0,2,0,0,794,0.9900
Precision,0.6,0.7204,0.6330,0.5421,0.5774,0.7567,0.4340,0.6604,0.7813,0.9742,
F-Measures,0.7200,0.1673,0.6248,0.6891,0.6913,0.8090,0.3613,0.3451,0.3406,0.9820,
,,,,,,,,,,,
Accuracy,0.6355,,,,,,,,,,
Avg.Precision,0.6680,,,,,,,,,,
Avg.Recall,0.6038,,,,,,,,,,
Avg.F-Measures,0.5730,,,,,,,,,,
